Name	C3
PCDHAC2	0.242641186
SLC16A2	0.211934027
MCC	0.057584696
GRIN2B	0.020669847
IL7R	0.167683012
NAP1L2	0.181316808
HCN4	0.094338776
PPEF2	0.019809094
GPRC5B	0.26106722
NR2F2	0.756104454
RFPL4A	0.212961586
NREP	1.18E-09
ULBP2	0.333680987
DYNC2H1	0.539665493
FRMD5	0.287899547
IGSF11	3.14E-21
TRPV1	0.075695129
CAMK4	0.170652105
EPDR1	0.672228472
TRIM38	0.321224644
EI24	1.093942278
OGDHL	0.207535283
CTIF	0.256489063
ZC3H6	0.089545162
MGAT4A	1.99E-05
SCAMP5	0.112080125
CCDC141	0.054539147
LOX	0.367257346
TTC39A	3.30E-21
7SK	0.221180591
GRIK5	0.063256829
CCDC86	1.407331399
PLEKHG1	1.33E-17
STYK1	0.25477601
PLEKHG4B	0.10545068
AKAP12	1.343491047
RALGPS2	0.453480752
CXCL16	0.00962656
SRPX2	0.047604829
SORBS1	0.071758107
ARHGEF4	0.046794036
RIMKLA	0.204795692
AGBL5	0.845612335
DNAJB2	0.284386464
TMEM123	1.175589635
TNFAIP2	0.676742338
ALDH1A3	0.531340581
PQLC3	0.19985066
TMEM129	0.262279215
CCDC84	0.932782918
EPB41L1	0.202562919
FAM196B	0.236199673
LCP1	0.367016501
ATP6AP1L	0.120359702
HSF2BP	0.306882546
SIPA1L2	2.39E-19
CTSH	0.017937915
TMC6	0.042733159
NEO1	0.162922074
AC133785.1	0.082259173
RP11-587D21.1	1.137274688
ARL4C	0.807624521
MAP4K1	0.088841832
ARHGEF3	0.225422724
RASSF2	0.147223983
WTIP	0.501179911
DET1	0.253286994
DLX5	4.61E-16
MBNL2	0.386309807
ADAMTS15	0.135202749
SEL1L3	0.40111551
TRIM9	0.09742488
NUPR1	2.12E-21
TMEM87B	0.290198531
WFDC3	0.210170827
ST3GAL5	0.003896729
GNG4	0.264824214
NPAS2	0.29120453
PPM1H	0.15010085
AC005150.1	0.036867725
KLHL25	0.277606583
ADSSL1	0.079062292
RP11-543B16.1	0.548274897
LRRC4C	0.01298021
CCDC36	0.021090175
B9D1	0.5989219
TMEM218	0.593169916
GSS	1.00974342
PHLPP1	0.333391454
DPYSL5	0.108075489
ENGASE	0.237695452
MAP7	8.70E-20
PIGP	0.415070289
RBM7	0.160337953
LGALS3BP	0.855499229
VASH1	0.17035806
POU6F2-AS2	2.62E-21
C11orf45	0.273478327
CLSTN3	0.26781819
ITGB2	0.306788118
KIF5C	0.096383167
CPEB1	0.055532627
SQLE	0.907438487
GSTO2	0.26254482
FAM127C	0.318312512
FIG4	0.329695832
VMA21	1.008064659
ENOX1	0.044257111
RP11-620J15.1	0.137369809
DHTKD1	0.464268557
COLEC12	3.33E-21
MSRB3	0.404805502
IRF5	0.158951927
TESPA1	0.043900655
SLC25A45	0.110949997
MICALL2	0.056159222
OPRL1	0.111776667
FNDC5	0.114910591
GS1-358P8.4	0.116466943
PCDHAC1	0.124479682
GNG2	4.19E-21
CTNND2	2.72E-21
MBOAT2	0.4829975
PDE4B	0.122858801
TBC1D19	0.170060603
DYNC1I1	0.049976284
ESR2	0.152657108
SESN3	4.82E-18
TEAD2	0.754874359
PLA2R1	3.17E-19
FDFT1	0.920316427
IFI44	0.411498953
HSBP1L1	0.542445131
IDH2	0.468621461
SERPINA3	1.73E-21
MDGA1	0.050780331
STAC2	0.029152054
RPL35A	1.135399775
PANX1	0.817237862
HOXA13	0.185913488
DPAGT1	0.98357827
ZDHHC1	0.079238012
EDEM2	0.584916179
SDHD	1.110665265
KSR1	0.256628743
C1QTNF2	0.066656812
FDXR	0.360225722
FUCA1	0.20651477
RP11-283G6.3	0.046511379
LRRC63	0.102808331
CCDC121	0.257938604
PCDHA11	0.116663536
LRRC1	0.295221234
POU6F2	0.000153298
RASSF3	0.799809327
GCNT3	0.096497991
RP11-25K19.1	0.162189005
