Name	C5
PCDHAC2	0.053147012
SLC16A2	0.983954619
MCC	0.330478207
GRIN2B	0.037981962
IL7R	0.990840316
NAP1L2	0.197040804
HCN4	0.055191522
PPEF2	0.024864223
GPRC5B	0.45915231
NR2F2	0.825851159
RFPL4A	0.104478061
NREP	0.621318243
ULBP2	0.767753907
DYNC2H1	0.325341527
FRMD5	0.263568888
IGSF11	7.62E-17
TRPV1	0.064815351
CAMK4	0.204633189
EPDR1	1.038075089
TRIM38	0.741173123
EI24	0.892417801
OGDHL	0.036919122
CTIF	0.963173271
ZC3H6	0.256844666
MGAT4A	2.00E-20
SCAMP5	0.210338127
CCDC141	0.030736174
LOX	1.496867641
TTC39A	0.03816831
7SK	0.062947201
GRIK5	0.084648867
CCDC86	0.592559989
PLEKHG1	0.127808996
STYK1	0.130306911
PLEKHG4B	0.171018844
AKAP12	0.889251602
RALGPS2	0.618151706
CXCL16	0.251475783
SRPX2	0.945045789
SORBS1	0.099346993
ARHGEF4	0.164965199
RIMKLA	1.89E-21
AGBL5	0.474200918
DNAJB2	0.989163262
TMEM123	0.973846467
TNFAIP2	0.796927008
ALDH1A3	0.563334642
PQLC3	0.735521893
TMEM129	0.833749195
CCDC84	0.335888166
EPB41L1	0.463904411
FAM196B	0.618923494
LCP1	0.244875925
ATP6AP1L	0.178145133
HSF2BP	0.225582118
SIPA1L2	0.426217706
CTSH	0.237790976
TMC6	3.01E-21
NEO1	0.66717897
AC133785.1	3.96E-12
RP11-587D21.1	0.699819149
ARL4C	0.989346062
MAP4K1	0.084855266
ARHGEF3	0.217704003
RASSF2	0.424856452
WTIP	0.551788594
DET1	0.331012438
DLX5	0.12163051
MBNL2	0.983477078
ADAMTS15	0.605307369
SEL1L3	0.833343032
TRIM9	0.096824401
NUPR1	1.23175752
TMEM87B	0.749452728
WFDC3	0.150698294
ST3GAL5	0.435493187
GNG4	1.99E-18
NPAS2	0.544578241
PPM1H	0.194020985
AC005150.1	0.016465923
KLHL25	0.234039063
ADSSL1	0.224428296
RP11-543B16.1	0.215344321
LRRC4C	0.077909557
CCDC36	0.138173203
B9D1	0.327299318
TMEM218	0.402427774
GSS	0.868396728
PHLPP1	0.22034008
DPYSL5	1.79E-21
ENGASE	0.431101001
MAP7	1.97E-19
PIGP	0.514779199
RBM7	0.093554331
LGALS3BP	1.162829062
VASH1	0.253645207
POU6F2-AS2	1.27E-21
C11orf45	0.146061348
CLSTN3	0.506418982
ITGB2	0.341081701
KIF5C	0.090610522
CPEB1	0.231735917
SQLE	0.778881132
GSTO2	0.058950289
FAM127C	0.946343835
FIG4	0.557197677
VMA21	0.530321255
ENOX1	0.275214048
RP11-620J15.1	0.08557038
DHTKD1	0.338569266
COLEC12	0.641956452
MSRB3	0.681173603
IRF5	0.071529825
TESPA1	0.073142337
SLC25A45	0.182060883
MICALL2	0.735457629
OPRL1	0.188468942
FNDC5	0.154916918
GS1-358P8.4	0.170413941
PCDHAC1	0.021947824
GNG2	0.447536586
CTNND2	0.062647786
MBOAT2	0.569793249
PDE4B	0.265941142
