Name	C4
PCDHAC2	0.112995645
SLC16A2	1.08E-09
MCC	2.39E-06
GRIN2B	0.145477116
IL7R	4.39E-15
NAP1L2	2.36E-21
HCN4	0.055145473
PPEF2	0.043271401
GPRC5B	0.081428247
NR2F2	0.659818462
RFPL4A	0.070725932
NREP	0.097303633
ULBP2	0.273721498
DYNC2H1	0.052705275
FRMD5	0.330660222
IGSF11	1.78E-19
TRPV1	0.145801398
CAMK4	0.039465365
EPDR1	0.484139142
TRIM38	0.457478015
EI24	0.999776063
OGDHL	0.103152155
CTIF	0.300103361
ZC3H6	0.282488521
MGAT4A	0.561713225
SCAMP5	0.371355049
CCDC141	0.055260709
LOX	0.079505102
TTC39A	0.495241705
7SK	0.155879502
GRIK5	0.133535053
CCDC86	0.807058059
PLEKHG1	0.323840117
STYK1	0.373275006
PLEKHG4B	1.58E-13
AKAP12	0.22273764
RALGPS2	0.546133725
CXCL16	0.85244409
SRPX2	0.167249221
SORBS1	0.396281327
ARHGEF4	0.153858259
RIMKLA	0.395583588
AGBL5	0.504075169
DNAJB2	0.50720555
TMEM123	1.029512497
TNFAIP2	0.334133918
ALDH1A3	0.298032485
PQLC3	0.537261618
TMEM129	0.790220873
CCDC84	0.654897436
EPB41L1	0.657252934
FAM196B	0.017404203
LCP1	0.152340526
ATP6AP1L	0.222738708
HSF2BP	0.183129569
SIPA1L2	0.292781643
CTSH	0.791582591
TMC6	0.883693609
NEO1	0.54113476
AC133785.1	0.060847842
RP11-587D21.1	0.958950169
ARL4C	0.547563877
MAP4K1	0.151923167
ARHGEF3	0.375934774
RASSF2	0.097284139
WTIP	0.113409032
DET1	0.316465509
DLX5	2.12E-21
MBNL2	0.689515422
ADAMTS15	0.123004288
SEL1L3	1.028945196
TRIM9	0.041152135
NUPR1	0.415561047
TMEM87B	0.830253577
WFDC3	0.161191613
ST3GAL5	0.166632315
GNG4	0.300211304
NPAS2	0.688883561
PPM1H	0.643892581
AC005150.1	0.034216482
KLHL25	0.387208589
ADSSL1	0.235695578
RP11-543B16.1	0.595593487
LRRC4C	0.032832609
CCDC36	0.053370695
B9D1	0.342512305
TMEM218	0.391268421
GSS	0.913986227
PHLPP1	0.4649196
DPYSL5	0.024679577
ENGASE	0.647814506
MAP7	1.048937881
PIGP	0.628417096
RBM7	0.153420883
LGALS3BP	1.06636644
VASH1	0.043327679
POU6F2-AS2	0.035238639
C11orf45	0.207995561
CLSTN3	0.443563058
ITGB2	0.128787546
KIF5C	0.030247746
