Name	C2
PCDHAC2	0.201353817
SLC16A2	0.514265809
MCC	0.180506705
GRIN2B	0.057794657
IL7R	1.42E-21
NAP1L2	0.287549252
HCN4	0.093566388
PPEF2	0.038366045
GPRC5B	0.332062587
NR2F2	0.607773868
RFPL4A	0.008619058
NREP	0.252301078
ULBP2	0.061017341
DYNC2H1	0.285080141
FRMD5	2.54E-21
IGSF11	0.092033152
TRPV1	0.134857594
CAMK4	2.97E-21
EPDR1	0.528649264
TRIM38	0.140515946
EI24	0.856656064
OGDHL	0.636161453
CTIF	0.526455966
ZC3H6	0.193911268
MGAT4A	0.457476482
SCAMP5	0.550923866
CCDC141	0.009669729
LOX	0.140594441
TTC39A	0.399824427
7SK	0.121620579
GRIK5	0.166266668
CCDC86	0.587152885
PLEKHG1	0.33455573
STYK1	0.002638198
PLEKHG4B	0.37066257
AKAP12	2.98E-07
RALGPS2	0.514468562
CXCL16	0.777950852
SRPX2	1.73E-21
SORBS1	0.178641533
ARHGEF4	0.191905931
RIMKLA	0.28697761
AGBL5	0.680683764
DNAJB2	0.852941033
TMEM123	0.780252868
TNFAIP2	0.159438234
ALDH1A3	1.70E-15
PQLC3	0.767677934
TMEM129	0.772499439
CCDC84	0.404460246
EPB41L1	0.524125958
FAM196B	3.54E-21
LCP1	0.167074294
ATP6AP1L	0.171318007
HSF2BP	0.245995696
SIPA1L2	0.450853167
CTSH	0.65895682
TMC6	0.916203612
NEO1	0.864141879
AC133785.1	0.015266884
RP11-587D21.1	0.710558584
ARL4C	0.072733454
MAP4K1	0.239668127
ARHGEF3	0.277831815
RASSF2	0.368417807
WTIP	0.673125741
DET1	0.265541616
DLX5	0.427965293
MBNL2	0.206547846
ADAMTS15	0.33553477
SEL1L3	0.273747017
TRIM9	0.128351847
NUPR1	1.004140286
TMEM87B	0.438681487
WFDC3	0.019692144
ST3GAL5	0.327712011
GNG4	0.029763435
NPAS2	0.131376672
PPM1H	0.605932802
AC005150.1	0.033800974
KLHL25	0.363412839
ADSSL1	0.440890742
RP11-543B16.1	0.33214933
LRRC4C	0.104221579
CCDC36	0.082561379
B9D1	0.423170126
TMEM218	0.373779624
GSS	0.807033995
PHLPP1	0.258759267
DPYSL5	0.328382472
ENGASE	0.565482455
MAP7	0.396867811
PIGP	0.542886228
RBM7	0.077515964
LGALS3BP	0.349484716
VASH1	0.341704499
POU6F2-AS2	0.083358173
C11orf45	0.009784882
CLSTN3	0.643780287
ITGB2	0.113029628
KIF5C	0.243852997
CPEB1	0.121588187
SQLE	0.859049853
GSTO2	0.30732746
FAM127C	0.5373685
FIG4	0.443886171
VMA21	0.489104192
ENOX1	0.199960676
RP11-620J15.1	0.07894935
DHTKD1	0.931896823
COLEC12	0.368544429
MSRB3	0.245784879
IRF5	0.243880063
TESPA1	0.001569438
SLC25A45	0.300588841
MICALL2	0.382021428
OPRL1	0.275344974
FNDC5	0.178481205
GS1-358P8.4	0.337165261
PCDHAC1	0.237548316
GNG2	2.29E-21
CTNND2	0.252850712
MBOAT2	0.272598651
PDE4B	0.310643663
TBC1D19	0.229980335
DYNC1I1	0.084872475
ESR2	0.106368458
SESN3	0.271482176
TEAD2	1.165332461
PLA2R1	0.120261702
FDFT1	0.822862757
IFI44	2.22E-21
HSBP1L1	0.726667373
IDH2	1.124880783
SERPINA3	0.167655505
MDGA1	0.191167623
STAC2	0.265199515
RPL35A	0.961250883
PANX1	0.345665852
HOXA13	0.070053602
DPAGT1	0.731026801
ZDHHC1	0.319520781
EDEM2	0.594523227
SDHD	0.740173353
KSR1	0.363607591
C1QTNF2	0.093892204
FDXR	0.760196652
FUCA1	0.6702614
RP11-283G6.3	0.028639996
LRRC63	0.071184286
CCDC121	0.376672206
PCDHA11	0.310677047
LRRC1	0.433876
POU6F2	0.050079279
RASSF3	0.440392144
GCNT3	1.99E-20
RP11-25K19.1	8.90E-11
APBB2	0.331692676
ETS1	1.84E-21
EML5	0.0864953
TYSND1	0.678272623
FGFR1	0.77443868
LINC00461	0.101397206
NOSIP	0.877962189
ATP9A	0.860794647
NEDD4L	0.173053925
RXRA	0.654551291
SEMA6D	0.083326845
LHX6	0.220215151
RPL24	0.968048963
MGAT3	0.489594673
BCL2	0.201513874
STK4-AS1	0.091666442
MLLT11	0.560721678
VWA5A	0.151704309
TFPI2	0.420745363
ECE2	0.289179713
DLX6	0.310478996
DNM3	0.17785578
STK17A	0.182881173
CTDSP2	0.925321464
C15orf38-AP3S2	0.091296791
NUMA1	0.800291153
NEBL	0.51592117
ENHO	0.410640497
TNS3	0.475714626
ARHGAP26	0.058922495
SAMD9L	2.33E-21
REEP3	0.55857512
EGR4	0.056238335
RDH14	0.503662598
SLC25A29	0.520541361
MEX3C	0.566812795
CKMT1A	0.325122584
ITGA2	2.68E-21
ZSWIM5	0.216401356
KSR2	0.11011049
LONRF2	0.318154378
CYP1A1	0.287576337
ZNF532	0.366460798
ZNF865	0.527902946
CHML	0.41375335
RNF144B	0.504318301
ADAMTS13	0.399792277
ISLR2	0.017963103
PSMB9	2.55E-06
AFAP1L2	0.044024874
LRCH2	0.10360462
RP4-798A10.7	0.165858681
LIFR	0.249781795
USP28	0.465299981
APBA1	0.127484162
SEPSECS	0.234737999
NYAP1	0.204438319
APBB3	0.482250923
DHCR7	0.832091591
DOCK2	0.073856612
CKMT1B	0.285467732
IFITM2	0.725913926
TCEB2P2	0.062718311
BUD13	0.434128472
MMAB	0.535901394
PKDCC	0.498731834
AP1S2	0.268938417
C12orf29	0.372909928
RPS5	0.975430988
SAE1	0.930054395
RP11-426C22.6	1.29E-16
ATF5	0.870389805
EPHA10	0.196856118
ZNF628	0.328537128
CTSC	0.128276015
CORO1A	0.278938252
AC004951.5	0.093031037
RP11-448G4.2	0.086954519
TXNRD1	0.800252729
PTPRN	1.52E-20
PGF	0.066824693
SSX6	0.017645686
SLC6A17	0.179971742
DUSP15	0.234211295
PITX2	0.123931428
GDA	1.90E-20
RP11-76H14.2	0.164984862
RP11-313M3.1	0.024028056
H2AFX	0.786071353
RP11-438O11.1	0.008397577
SLC22A18	0.394537
EPG5	0.24142414
TMEFF1	0.115593304
RP11-396M11.1	0.008714663
TFCP2L1	0.163358527
BRSK2	0.321079296
NOXA1	0.435305522
IER3IP1	0.855919073
PAFAH1B2	0.615991339
ELMO1	0.084692774
VCAN	0.242760111
MALAT1	0.947538991
SNCB	0.111894042
SLC10A5	0.118211972
TNIK	8.56E-12
TCIRG1	0.384144918
NOV	0.120199689
SLC22A17	0.754949009
PSMD11	0.85435436
