	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
linsitinib	-0.6738392400134637	0.02317494694153794	0.999958419958	4.158004158e-05	4.158004158e-05	0.999958419958	0.00666666666667	0.00666666666667
barasertib	-0.6696783762068731	0.01911487484627923	0.999958419958	4.158004158e-05	4.158004158e-05	0.999958419958	0.00666666666667	0.00666666666667
belinostat	-0.6566015108791732	0.022159093687402383	0.999958419958	4.158004158e-05	4.158004158e-05	0.999958419958	0.00666666666667	0.00666666666667
serdemetan	-0.6499588730932861	0.016243245317958788	0.999833679834	0.00016632016632	0.00016632016632	0.999958419958	0.02	0.02
skepinone-L	-0.645884127212601	0.09243869109034084	0.999750519751	0.00024948024948	0.00024948024948	0.999958419958	0.02	0.02
BRD-K28456706	-0.6427843203717621	0.018624662717655893	0.999708939709	0.00029106029106	0.00029106029106	0.999958419958	0.02	0.02
indisulam	-0.6416582410306835	0.021807326624268895	0.999708939709	0.00029106029106	0.00029106029106	0.999958419958	0.02	0.02
sotrastaurin	-0.6188796169921572	0.018252515818302794	0.998794178794	0.00120582120582	0.00120582120582	0.999958419958	0.0642857142857	0.0642857142857
chlorambucil	-0.6178082709036872	0.01877953125767447	0.998711018711	0.00128898128898	0.00128898128898	0.999958419958	0.0642857142857	0.0642857142857
tretinoin	-0.6093814905535644	0.015894659489145833	0.998461538462	0.00153846153846	0.00153846153846	0.999958419958	0.0642857142857	0.0642857142857
ML239	-0.6089795863809454	0.019416113670072625	0.998461538462	0.00153846153846	0.00153846153846	0.999958419958	0.0642857142857	0.0642857142857
BRD-M00053801	-0.6067923120541047	0.021006129524715964	0.998295218295	0.00170478170478	0.00170478170478	0.999958419958	0.0642857142857	0.0642857142857
BRD-K26531177	-0.6044444604460072	0.06015045385706464	0.998128898129	0.0018711018711	0.0018711018711	0.999958419958	0.0642857142857	0.0642857142857
PF-4800567 hydrochloride	-0.6042791763901774	0.14241930226941493	0.998128898129	0.0018711018711	0.0018711018711	0.999958419958	0.0642857142857	0.0642857142857
alisertib	-0.6007250061356494	0.017235213197855825	0.997962577963	0.00203742203742	0.00203742203742	0.999958419958	0.0653333333333	0.0653333333333
Compound 7d-cis	-0.5939802424706768	0.015627873660169937	0.997255717256	0.00274428274428	0.00274428274428	0.999958419958	0.075	0.075
RG-108	-0.5936172444784246	0.0164300638612957	0.997089397089	0.0029106029106	0.0029106029106	0.999958419958	0.075	0.075
ABT-737	-0.5932028821657355	0.015636842934434316	0.997089397089	0.0029106029106	0.0029106029106	0.999958419958	0.075	0.075
avrainvillamide	-0.5918463432999181	0.017032208710244898	0.996923076923	0.00307692307692	0.00307692307692	0.999958419958	0.075	0.075
olaparib	-0.5916675115821963	0.013461847509780482	0.996881496881	0.0031185031185	0.0031185031185	0.999958419958	0.075	0.075
BRD-K88742110	-0.587371625781214		0.996216216216	0.00378378378378	0.00378378378378	0.999958419958	0.0866666666667	0.0866666666667
cytarabine hydrochloride	-0.5843808471072085		0.995758835759	0.00424116424116	0.00424116424116	0.999958419958	0.0927272727273	0.0927272727273
axitinib	-0.5831540138218977		0.995467775468	0.00453222453222	0.00453222453222	0.999958419958	0.0941666666667	0.0941666666667
PX-12	-0.5827856524358244		0.995301455301	0.00469854469854	0.00469854469854	0.999958419958	0.0941666666667	0.0941666666667
16-beta-bromoandrosterone	-0.5816701537165193		0.995051975052	0.00494802494802	0.00494802494802	0.999958419958	0.0952	0.0952
BRD-K51490254	-0.5781312723522359		0.994137214137	0.00586278586279	0.00586278586279	0.999958419958	0.105806451613	0.105806451613
epigallocatechin-3-monogallate	-0.5767769906438726		0.993929313929	0.00607068607069	0.00607068607069	0.999958419958	0.105806451613	0.105806451613
LY-2183240	-0.5756302762708201		0.993804573805	0.00619542619543	0.00619542619543	0.999958419958	0.105806451613	0.105806451613
KW-2449	-0.5720904055450672		0.993264033264	0.00673596673597	0.00673596673597	0.999958419958	0.105806451613	0.105806451613
SZ4TA2	-0.5711154357253143		0.993180873181	0.00681912681913	0.00681912681913	0.999958419958	0.105806451613	0.105806451613
CIL41	-0.5710831391123006		0.993180873181	0.00681912681913	0.00681912681913	0.999958419958	0.105806451613	0.105806451613
SB-225002	-0.5690169822469959		0.992349272349	0.00765072765073	0.00765072765073	0.999958419958	0.11	0.11
BRD-K42260513	-0.5688363273148331		0.992266112266	0.00773388773389	0.00773388773389	0.999958419958	0.11	0.11
ML050	-0.5685211282091109		0.992224532225	0.00777546777547	0.00777546777547	0.999958419958	0.11	0.11
tacedinaline	-0.5671043929199338		0.991891891892	0.00810810810811	0.00810810810811	0.999958419958	0.111428571429	0.111428571429
GMX-1778	-0.5648153882861434		0.991392931393	0.00860706860707	0.00860706860707	0.999958419958	0.115	0.115
AZD1480	-0.5621391727501674		0.990686070686	0.00931392931393	0.00931392931393	0.999958419958	0.117894736842	0.117894736842
NSC19630	-0.5621341254189467		0.990686070686	0.00931392931393	0.00931392931393	0.999958419958	0.117894736842	0.117894736842
BMS-195614	-0.5607847501938005		0.99027027027	0.00972972972973	0.00972972972973	0.999958419958	0.12	0.12
BMS-754807	-0.559748679528398		0.990020790021	0.00997920997921	0.00997920997921	0.999958419958	0.12	0.12
tivantinib	-0.5588964812994631		0.989646569647	0.0103534303534	0.0103534303534	0.999958419958	0.12	0.12
BRD-K24690302	-0.5580408528541779		0.989355509356	0.0106444906445	0.0106444906445	0.999958419958	0.12	0.12
ceranib-2	-0.5567893437929157		0.989064449064	0.0109355509356	0.0109355509356	0.999958419958	0.12	0.12
Repligen 136	-0.5566084936270105		0.988814968815	0.011185031185	0.011185031185	0.999958419958	0.12	0.12
CIL70	-0.5557864689130335		0.988607068607	0.0113929313929	0.0113929313929	0.999958419958	0.12	0.12
foretinib	-0.5552519108967073		0.988357588358	0.0116424116424	0.0116424116424	0.999958419958	0.12	0.12
NSC23766	-0.5550140906202938		0.988191268191	0.0118087318087	0.0118087318087	0.999958419958	0.12	0.12
