	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
carcinoma	0.4832003721485298	0.005829976279142884	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
large_intestine	0.4689857189878704	0.01217874200019093	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
large_intestine.carcinoma.adenocarcinoma	0.40481906575778537	0.012284125883000452	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
pancreas	0.3053274143312222	0.009838433133543866	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
stomach	0.2512061846668618	0.00738360188981841	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
large_intestine.carcinoma.NS	0.24258214207285284	0.01875897735265619	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
pancreas.carcinoma.ductal_carcinoma	0.2229004558884689	0.010302413213357847	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
pancreas.carcinoma.NS	0.2211177583328517	0.010537137199076117	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
breast	0.20129106676258515	0.06478622880792048	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
stomach.carcinoma.NS	0.1927568685591468	0.011223564389211866	0.00015384615384615385	1.0	0.00015384615384615385	0.002	1.0	0.002
lung.carcinoma.adenocarcinoma	0.18157398838735428	0.04557045900305009	0.000769230769231	0.999230769231	0.000769230769231	0.00909090909091	1.0	0.00909090909091
breast.carcinoma.ductal_carcinoma	0.17043956285550196	0.051554956898117725	0.00215384615385	0.997846153846	0.00215384615385	0.0233333333333	1.0	0.0233333333333
biliary_tract.carcinoma.NS	0.15307022911394202	0.012919576734941967	0.00661538461538	0.993384615385	0.00661538461538	0.0614285714286	1.0	0.0614285714286
biliary_tract	0.15307022911394202	0.012919576734941967	0.00661538461538	0.993384615385	0.00661538461538	0.0614285714286	1.0	0.0614285714286
stomach.carcinoma.adenocarcinoma	0.14099576119014542	0.01745094442513231	0.0192307692308	0.980769230769	0.0192307692308	0.166666666667	1.0	0.166666666667
stomach.carcinoma.diffuse_adenocarcinoma	0.13467543781956387	0.033495544681236056	0.0363076923077	0.963692307692	0.0363076923077	0.295	1.0	0.295
liver	0.13352687972729338	0.051430084448667555	0.0392307692308	0.960769230769	0.0392307692308	0.3	1.0	0.3
prostate.carcinoma.adenocarcinoma	0.12442777113840113	0.032184770836033404	0.0698461538462	0.930153846154	0.0698461538462	0.504444444444	1.0	0.504444444444
prostate	0.11777540108610879	0.0352576252320076	0.103076923077	0.896923076923	0.103076923077	0.705263157895	1.0	0.705263157895
stomach.carcinoma.undifferentiated_adenocarcinoma	0.1117930280405523	0.0424228157387488	0.144615384615	0.855384615385	0.144615384615	0.94	1.0	0.94
liver.other.hepatoblastoma	0.11015730182898364		0.154	0.846	0.154	0.953333333333	0.999818181818	0.953333333333
stomach.carcinoma.signet_ring_adenocarcinoma	0.10598509329031028		0.186461538462	0.813538461538	0.186461538462	1.0	0.970275229358	1.0
other	0.10568774087815412		0.188769230769	0.811230769231	0.188769230769	1.0	0.970275229358	1.0
stomach.carcinoma.intestinal_adenocarcinoma	0.10035751266771518		0.235538461538	0.764461538462	0.235538461538	1.0	0.928785046729	1.0
oesophagus.carcinoma.adenocarcinoma	0.09874381407255323		0.249230769231	0.750769230769	0.249230769231	1.0	0.920754716981	1.0
oesophagus.other.metaplasia	0.09304325180026458		0.299692307692	0.700307692308	0.299692307692	1.0	0.867047619048	1.0
lung.carcinoma.NS	0.09199980545684688		0.304923076923	0.695076923077	0.304923076923	1.0	0.867047619048	1.0
carcinoid-endocrine_tumour	0.08855166658980523		0.323538461538	0.676461538462	0.323538461538	1.0	0.853786407767	1.0
lung.carcinoid-endocrine_tumour.NS	0.08855166658980523		0.323538461538	0.676461538462	0.323538461538	1.0	0.853786407767	1.0
stomach.carcinoma.small_cell_adenocarcinoma	0.08599078995172948		0.334	0.666	0.334	1.0	0.853786407767	1.0
ovary.carcinoma.mixed_carcinoma	0.08207496178846385		0.355692307692	0.644307692308	0.355692307692	1.0	0.8376	1.0
lung.carcinoma.undifferentiated_carcinoma	0.07603861681327756		0.394307692308	0.605692307692	0.394307692308	1.0	0.795353535354	1.0
endometrium.carcinoma.clear_cell_carcinoma	0.07400996282235935		0.401538461538	0.598461538462	0.401538461538	1.0	0.79387755102	1.0
stomach.carcinoma.tubular_adenocarcinoma	0.0731834373786223		0.403538461538	0.596461538462	0.403538461538	1.0	0.79387755102	1.0
stomach.carcinoma.mixed_adenosquamous_carcinoma	-0.04821672102793099		0.433076923077	0.566923076923	0.566923076923	1.0	0.767708333333	0.767708333333
oesophagus.carcinoma.NS	-0.04853618613180386		0.441846153846	0.558153846154	0.558153846154	1.0	0.763789473684	0.763789473684
malignant_fibrous_histiocytoma-pleomorphic_sarcoma	-0.04877590133342009		0.449230769231	0.550769230769	0.550769230769	1.0	0.76170212766	0.76170212766
soft_tissue.malignant_fibrous_histiocytoma-pleomorphic_sarcoma.NS	-0.04877590133342009		0.449230769231	0.550769230769	0.550769230769	1.0	0.76170212766	0.76170212766
upper_aerodigestive_tract.other.papilloma	-0.04880638191963109		0.449230769231	0.550769230769	0.550769230769	1.0	0.76170212766	0.76170212766
bone.chondrosarcoma.dedifferentiated	-0.049623110695170045		0.458923076923	0.541076923077	0.541076923077	1.0	0.76170212766	0.76170212766
breast.carcinoma.metaplastic_carcinoma	-0.049700244491102316		0.461846153846	0.538153846154	0.538153846154	1.0	0.76170212766	0.76170212766
liver.carcinoma.adenocarcinoma	-0.04977841320466656		0.462769230769	0.537230769231	0.537230769231	1.0	0.76170212766	0.76170212766
thyroid.carcinoma.papillary_carcinoma	-0.05077953892597095		0.475230769231	0.524769230769	0.524769230769	1.0	0.76170212766	0.76170212766
bone.other.giant_cell_tumour	-0.05082063289471174		0.476923076923	0.523076923077	0.523076923077	1.0	0.76170212766	0.76170212766
ovary.carcinoma.Brenner_tumour	-0.05102259905383285		0.480307692308	0.519692307692	0.519692307692	1.0	0.76170212766	0.76170212766
sex_cord-stromal_tumour	-0.05217757717313995		0.491846153846	0.508153846154	0.508153846154	1.0	0.76170212766	0.76170212766
ovary.sex_cord-stromal_tumour.granulosa_cell_tumour	-0.05217757717313995		0.491846153846	0.508153846154	0.508153846154	1.0	0.76170212766	0.76170212766
fibrosarcoma	-0.05335984377072717		0.502	0.498	0.498	1.0	0.76170212766	0.76170212766
soft_tissue.fibrosarcoma.NS	-0.05335984377072717		0.502	0.498	0.498	1.0	0.76170212766	0.76170212766
prostate.carcinoma.NS	-0.05344097470700256		0.502615384615	0.497384615385	0.497384615385	1.0	0.76170212766	0.76170212766
central_nervous_system.glioma.astrocytoma_Grade_III	-0.05349728859008926		0.503076923077	0.496923076923	0.496923076923	1.0	0.76170212766	0.76170212766
central_nervous_system.glioma.oligodendroglioma	-0.054867354407000156		0.533384615385	0.466615384615	0.466615384615	1.0	0.76170212766	0.76170212766
soft_tissue.rhabdomyosarcoma.embryonal	-0.05487419296207311		0.535846153846	0.464153846154	0.464153846154	1.0	0.76170212766	0.76170212766
central_nervous_system.glioma.gliosarcoma	-0.05487774666141532		0.541846153846	0.458153846154	0.458153846154	1.0	0.76170212766	0.76170212766
