	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL	0.7167995733619602	0.010334537103616193	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5	0.651978712997937	0.007391628285507046	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
MUELLER_COMMON_TARGETS_OF_AML_FUSIONS	0.6339025704980847	0.010857485966970183	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
REN_ALVEOLAR_RHABDOMYOSARCOMA	0.6337134830692395	0.007424801943322337	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
RIGGI_EWING_SARCOMA_PROGENITOR	0.6090907091089504	0.0095525116388633	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
RASHI_RESPONSE_TO_IONIZING_RADIATION_3	0.6083594376973273	0.00994052042948403	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	0.6071069812230575	0.009018478300980032	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
KUNINGER_IGF1_VS_PDGFB_TARGETS	0.6064957945735613	0.009895588334630098	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.6033191337449064	0.010290691646376882	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
PETROVA_PROX1_TARGETS	0.5945905648627962	0.011131673863587847	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
BROWNE_HCMV_INFECTION_20HR	0.5903870446519298	0.009678101520829476	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS	0.5854827698052049	0.007687473127358965	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL	0.5850751801621482	0.00977053220019668	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
HUANG_DASATINIB_RESISTANCE_DN	0.5838375755700157	0.010087580553677249	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
PRC2_EZH2_UP.V1	0.5812189363871633	0.009345472769965476	2.6208884811951253e-06	1.0	2.6208884811951253e-06	3.3388981636060096e-05	1.0	3.3388981636060096e-05
