	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
glioma	0.4208637836871979	0.010855997371215457	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
central_nervous_system	0.3992252825315696	0.011129263852174593	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
central_nervous_system.glioma.astrocytoma_Grade_IV	0.32101913121008874	0.011165996011126524	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
kidney	0.2840771879516996	0.010511541221012206	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
bone	0.2233243015336121	0.014893958591040942	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
central_nervous_system.glioma.astrocytoma	0.20712418504645203	0.014482111765143446	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
skin.malignant_melanoma.NS.0	0.19547826502289672	0.023826683666366564	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
mesothelioma	0.1920397986003371	0.010738994329985235	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
pleura	0.1920397986003371	0.010738994329985235	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
pleura.mesothelioma.NS	0.1920397986003371	0.010738994329985235	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
central_nervous_system.glioma.NS	0.19126395710330568	0.014450414817471054	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
kidney.carcinoma.renal_cell_carcinoma	0.1864954473082923	0.010358377908465116	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
osteosarcoma	0.18085465704157574	0.011226556461719514	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
bone.osteosarcoma.NS	0.18085465704157574	0.011226556461719514	0.00015384615384615385	1.0	0.00015384615384615385	0.001	1.0	0.001
kidney.carcinoma.clear_cell_renal_cell_carcinoma	0.17138454675832362	0.007843666593069667	0.000153846153846	0.999846153846	0.000153846153846	0.001	1.0	0.001
soft_tissue	0.16973497199716348	0.011799497215189674	0.000153846153846	0.999846153846	0.000153846153846	0.001	1.0	0.001
skin	0.16886452178872705	0.046505150934367114	0.000153846153846	0.999846153846	0.000153846153846	0.001	1.0	0.001
malignant_melanoma	0.16886452178872705	0.046505150934367114	0.000153846153846	0.999846153846	0.000153846153846	0.001	1.0	0.001
breast.carcinoma.NS	0.16561636649548142	0.04969329541237594	0.000153846153846	0.999846153846	0.000153846153846	0.001	1.0	0.001
kidney.carcinoma.NS	0.1651254805569575	0.034847241097530804	0.000153846153846	0.999846153846	0.000153846153846	0.001	1.0	0.001
rhabdomyosarcoma	0.15444505016097024		0.00123076923077	0.998769230769	0.00123076923077	0.00761904761905	1.0	0.00761904761905
thyroid	0.15014774150537		0.00138461538462	0.998615384615	0.00138461538462	0.00818181818182	1.0	0.00818181818182
chondrosarcoma	0.14824976428269732		0.00169230769231	0.998307692308	0.00169230769231	0.0095652173913	1.0	0.0095652173913
thyroid.carcinoma.follicular_carcinoma	0.13735980102144943		0.00876923076923	0.991230769231	0.00876923076923	0.0456	1.0	0.0456
soft_tissue.rhabdomyosarcoma.NS	0.13727330837402757		0.00876923076923	0.991230769231	0.00876923076923	0.0456	1.0	0.0456
bone.chondrosarcoma.NS	0.1342244954347325		0.0109230769231	0.989076923077	0.0109230769231	0.0546153846154	1.0	0.0546153846154
liver	0.13287136664832389		0.0124615384615	0.987538461538	0.0124615384615	0.06	1.0	0.06
bone.giant_cell_tumour.NS	0.1319125188384835		0.0133846153846	0.986615384615	0.0133846153846	0.06	1.0	0.06
